N1309,Bundesland,Gebietsname,Wahlberechtigte,Abgegebene,Ungültige,Gültige,SPÖ,ÖVP,FPÖ,BZÖ,GRÜNE,FRANK,NEOS,KPÖ,PIRAT,CPÖ,WANDL,M,EUAUS,SLP,Column
G10909,Burgenland,Litzelsdorf,946,722,15,707,244,161,175,5,53,49,12,4,3,1,,,,,
G10910,Burgenland,Loipersdorf-Kitzladen,1018,841,22,819,353,210,173,13,25,28,12,1,3,1,,,,,
G10911,Burgenland,Mariasdorf,998,754,17,737,298,159,184,20,35,25,10,5,0,1,,,,,
G10912,Burgenland,Markt Allhau,1502,1149,20,1129,334,289,241,38,102,82,33,4,5,1,,,,,
G10913,Burgenland,Markt Neuhodis,566,433,12,421,188,115,67,12,10,21,3,2,3,0,,,,,
G10914,Burgenland,Mischendorf,1422,1115,19,1096,470,372,150,14,31,44,9,3,3,0,,,,,
G10915,Burgenland,Oberdorf im Burgenland,857,682,22,660,294,143,118,13,28,43,13,3,0,5,,,,,
G10916,Burgenland,Oberschützen,1887,1413,33,1380,371,407,278,54,124,91,48,5,0,2,,,,,
G10917,Burgenland,Oberwart,5611,3746,71,3675,1278,796,765,80,282,310,123,16,12,13,,,,,
G10918,Burgenland,Pinkafeld,4413,3045,62,2983,1128,651,618,59,221,166,89,18,18,15,,,,,
G10919,Burgenland,Rechnitz,2520,1771,36,1735,723,344,391,47,66,117,28,10,6,3,,,,,
G10920,Burgenland,Riedlingsdorf,1321,961,25,936,480,124,189,13,53,50,16,2,9,0,,,,,
G10921,Burgenland,Rotenturm an der Pinka,1142,936,18,918,476,178,134,11,38,58,20,2,1,0,,,,,
G10922,Burgenland,Schachendorf,585,455,8,447,136,176,52,3,24,31,18,4,0,3,,,,,
G10923,Burgenland,Stadtschlaining,1705,1209,21,1188,500,262,258,16,57,71,11,5,7,1,,,,,
G10924,Burgenland,Unterkohlstätten,854,727,8,719,324,230,87,11,22,29,11,4,0,1,,,,,
G10925,Burgenland,Unterwart,689,501,11,490,185,161,67,8,20,38,6,2,1,2,,,,,
G10926,Burgenland,Weiden bei Rechnitz,692,542,5,537,175,201,82,3,31,34,5,4,2,0,,,,,
G10927,Burgenland,Wiesfleck,950,744,11,733,251,236,160,16,24,29,12,2,1,2,,,,,
G10928,Burgenland,Wolfau,1107,844,21,823,279,231,158,19,57,48,25,1,4,1,,,,,
G10929,Burgenland,Neustift an der Lafnitz,617,506,8,498,227,79,99,16,19,37,19,0,2,0,,,,,
G10930,Burgenland,Jabing,621,489,12,477,192,114,95,9,22,32,10,2,1,0,,,,,
G10931,Burgenland,Badersdorf,251,203,2,201,66,93,28,1,4,9,0,0,0,0,,,,,
G10932,Burgenland,Schandorf,236,190,3,187,86,64,16,2,3,11,5,0,0,0,,,,,
G20101,Kärnten,Klagenfurt am Wörthersee,73937,45317,718,44599,13386,5823,7111,4754,7841,2743,2163,404,374,,,,,,
G20201,Kärnten,Villach,45015,28306,494,27812,9869,2933,5028,2634,3643,2119,1150,198,238,,,,,,
G20302,Kärnten,Dellach,1031,701,22,679,180,250,87,58,47,37,15,1,4,,,,,,
G20305,Kärnten,Hermagor-Pressegger See,5664,3827,93,3734,1245,884,576,333,321,247,100,15,13,,,,,,
G20306,Kärnten,Kirchbach,2196,1522,37,1485,354,464,274,147,112,86,29,8,11,,,,,,
