N1309,Bundesland,Gebietsname,Wahlberechtigte,Abgegebene,Ungültige,Gültige,SPÖ,ÖVP,FPÖ,BZÖ,GRÜNE,FRANK,NEOS,KPÖ,PIRAT,CPÖ,WANDL,M,EUAUS,SLP,Column
G41330,Oberösterreich,Rohrbach in Oberösterreich,1994,1400,67,1333,258,510,187,38,215,59,29,11,11,13,2,,,,
G41331,Oberösterreich,Sankt Johann am Wimberg,816,605,23,582,72,224,145,29,52,37,16,1,2,2,2,,,,
G41332,Oberösterreich,Sankt Martin im Mühlkreis,2908,2118,74,2044,413,749,355,53,230,135,75,6,14,11,3,,,,
G41333,Oberösterreich,Sankt Oswald bei Haslach,420,334,9,325,74,132,62,9,21,18,5,1,1,1,1,,,,
G41334,Oberösterreich,Sankt Peter am Wimberg,1436,1093,44,1049,178,513,139,32,98,48,25,3,10,1,2,,,,
G41335,Oberösterreich,Sankt Stefan am Walde,672,542,19,523,98,239,70,13,61,20,4,5,5,8,0,,,,
G41336,Oberösterreich,Sankt Ulrich im Mühlkreis,502,396,17,379,49,175,56,6,58,16,10,1,5,1,2,,,,
G41337,Oberösterreich,Sankt Veit im Mühlkreis,984,744,20,724,130,312,120,17,73,32,30,4,3,2,1,,,,
G41338,Oberösterreich,Sarleinsbach,1876,1419,65,1354,214,657,227,24,129,42,24,9,13,15,0,,,,
G41339,Oberösterreich,Schlägl,1067,733,6,727,170,266,137,22,64,35,13,3,12,5,0,,,,
G41340,Oberösterreich,Schönegg,442,339,4,335,90,132,52,12,23,12,9,1,3,1,0,,,,
G41341,Oberösterreich,Schwarzenberg am Böhmerwald,501,356,10,346,71,144,91,10,14,12,4,0,0,0,0,,,,
G41342,Oberösterreich,Ulrichsberg,2417,1738,72,1666,341,655,341,52,134,82,27,14,13,5,2,,,,
G41401,Oberösterreich,Altschwendt,533,416,5,411,85,130,98,16,39,27,12,0,4,0,0,,,,
G41402,Oberösterreich,Andorf,4056,3020,67,2953,781,769,850,113,208,122,62,12,17,11,8,,,,
G41403,Oberösterreich,Brunnenthal,1546,1079,36,1043,209,304,288,38,96,52,18,15,9,2,12,,,,
G41404,Oberösterreich,Diersbach,1289,925,17,908,157,300,229,65,69,49,21,7,7,1,3,,,,
G41405,Oberösterreich,Dorf an der Pram,857,626,16,610,108,263,132,20,42,27,15,2,0,0,1,,,,
G41406,Oberösterreich,Eggerding,1028,752,17,735,103,283,190,38,53,36,22,3,4,3,0,,,,
G41407,Oberösterreich,Engelhartszell,816,512,13,499,88,184,103,25,46,25,14,4,7,1,2,,,,
G41408,Oberösterreich,Enzenkirchen,1443,983,27,956,230,270,288,50,36,53,15,5,5,0,4,,,,
G41409,Oberösterreich,Esternberg,2355,1653,54,1599,191,606,433,149,97,64,35,4,9,5,6,,,,
G41410,Oberösterreich,Freinberg,1007,678,9,669,160,249,155,23,35,29,10,3,4,1,0,,,,
G41411,Oberösterreich,Kopfing im Innkreis,1604,1143,35,1108,146,386,324,55,64,70,23,10,9,21,0,,,,
G41412,Oberösterreich,Mayrhof,227,187,7,180,15,100,41,4,8,2,2,0,2,1,5,,,,
G41413,Oberösterreich,Münzkirchen,2087,1513,45,1468,289,503,375,94,94,45,26,15,3,7,17,,,,
G41414,Oberösterreich,Raab,1819,1260,27,1233,199,356,414,49,104,61,29,8,8,1,4,,,,
G41415,Oberösterreich,Rainbach im Innkreis,1190,901,21,880,146,320,238,53,58,29,18,2,5,7,4,,,,
G41416,Oberösterreich,Riedau,1565,1053,37,1016,277,241,282,33,82,57,31,2,8,2,1,,,,
G41417,Oberösterreich,Sankt Aegidi,1287,999,31,968,120,426,257,41,53,44,7,4,5,4,7,,,,
G41418,Oberösterreich,Sankt Florian am Inn,2375,1656,21,1635,423,423,474,53,122,66,43,12,10,7,2,,,,
G41419,Oberösterreich,Sankt Marienkirchen bei Schärding,1457,962,28,934,147,321,287,42,69,38,17,3,4,2,4,,,,
G41420,Oberösterreich,Sankt Roman,1434,1097,16,1081,70,359,234,339,25,33,10,3,2,4,2,,,,
G41421,Oberösterreich,Sankt Willibald,932,710,27,683,137,215,195,42,51,25,9,5,4,0,0,,,,
G41422,Oberösterreich,Schärding,3792,2288,54,2234,648,482,562,84,260,95,68,11,14,5,5,,,,
G41423,Oberösterreich,Schardenberg,1721,1260,22,1238,166,543,300,77,71,47,18,1,6,5,4,,,,
G41424,Oberösterreich,Sigharting,640,512,14,498,47,210,129,50,28,15,12,2,3,1,1,,,,
G41425,Oberösterreich,Suben,962,660,13,647,158,203,113,75,48,25,14,4,3,1,3,,,,
G41426,Oberösterreich,Taufkirchen an der Pram,2311,1602,60,1542,404,440,409,46,106,89,19,2,19,2,6,,,,
G41427,Oberösterreich,Vichtenstein,482,335,12,323,45,122,92,24,9,15,5,10,0,0,1,,,,
G41428,Oberösterreich,Waldkirchen am Wesen,1030,780,26,754,167,307,160,13,45,38,12,2,5,4,1,,,,
G41429,Oberösterreich,Wernstein am Inn,1197,871,20,851,210,299,183,32,56,36,14,4,6,4,7,,,,
G41430,Oberösterreich,Zell an der Pram,1568,1064,31,1033,122,403,227,51,112,60,37,7,8,2,4,,,,
G41501,Oberösterreich,Adlwang,1365,1012,27,985,123,379,236,64,94,44,23,3,10,9,0,,,,
G41502,Oberösterreich,Aschach an der Steyr,1794,1363,40,1323,269,395,241,55,204,68,62,10,12,3,4,,,,
G41503,Oberösterreich,Bad Hall,3860,2514,67,2447,592,605,509,182,284,131,90,18,22,10,4,,,,
G41504,Oberösterreich,Dietach,2333,1771,37,1734,477,454,310,48,274,91,50,8,13,6,3,,,,
G41505,Oberösterreich,Gaflenz,1499,1105,41,1064,219,404,207,48,84,61,22,5,7,5,2,,,,
G41506,Oberösterreich,Garsten,5250,3836,93,3743,977,946,729,138,545,199,146,26,23,8,6,,,,
G41507,Oberösterreich,Großraming,2266,1764,41,1723,514,539,269,67,164,80,51,19,8,10,2,,,,
G41508,Oberösterreich,Laussa,1022,801,31,770,176,216,154,67,61,53,29,5,4,4,1,,,,
G41509,Oberösterreich,Losenstein,1330,933,15,918,293,231,186,39,80,43,36,6,4,0,0,,,,
G41510,Oberösterreich,Maria Neustift,1311,1045,38,1007,133,446,228,61,56,42,22,3,9,7,0,,,,
G41511,Oberösterreich,Pfarrkirchen bei Bad Hall,1759,1246,32,1214,326,317,276,55,131,60,34,3,9,1,2,,,,
G41512,Oberösterreich,Reichraming,1472,1130,14,1116,533,145,213,49,73,60,28,5,7,2,1,,,,
G41513,Oberösterreich,Rohr im Kremstal,971,736,18,718,191,225,146,29,55,28,34,3,5,2,0,,,,
G41514,Oberösterreich,Sankt Ulrich bei Steyr,2476,1824,49,1775,401,547,348,77,220,102,57,3,11,5,4,,,,
G41515,Oberösterreich,Schiedlberg,1000,753,6,747,81,440,87,27,43,39,18,4,5,3,0,,,,
G41516,Oberösterreich,Sierning,7330,5321,134,5187,1839,948,1179,202,487,312,134,22,37,16,11,,,,
G41517,Oberösterreich,Ternberg,2746,2036,64,1972,552,509,384,141,214,92,45,13,9,10,3,,,,
G41518,Oberösterreich,Waldneukirchen,1787,1363,42,1321,282,449,270,70,120,56,40,9,7,17,1,,,,
G41521,Oberösterreich,Wolfern,2471,1828,32,1796,465,556,341,74,166,118,55,8,7,5,1,,,,
G41522,Oberösterreich,Weyer,3495,2432,38,2394,812,465,492,122,273,127,61,11,19,9,3,,,,
G41601,Oberösterreich,Alberndorf in der Riedmark,3146,2395,80,2315,461,745,518,64,286,121,70,15,14,12,9,,,,
G41602,Oberösterreich,Altenberg bei Linz,3557,2694,77,2617,460,1086,380,98,355,110,80,12,25,8,3,,,,
G41603,Oberösterreich,Bad Leonfelden,3269,2398,91,2307,371,889,461,69,268,136,59,18,17,16,3,,,,
G41604,Oberösterreich,Eidenberg,1662,1259,53,1206,176,483,185,57,148,62,60,8,19,5,3,,,,
G41605,Oberösterreich,Engerwitzdorf,6978,5149,173,4976,1315,1056,1002,200,823,255,226,38,33,24,4,,,,
G41606,Oberösterreich,Feldkirchen an der Donau,4317,3415,101,3314,947,833,564,209,407,180,126,19,21,4,4,,,,
G41607,Oberösterreich,Gallneukirchen,4980,3474,81,3393,996,711,494,94,739,136,158,25,23,14,3,,,,
G41608,Oberösterreich,Goldwörth,761,569,28,541,109,183,80,24,71,36,27,8,2,0,1,,,,
G41609,Oberösterreich,Gramastetten,3976,2815,71,2744,534,1000,414,79,398,135,132,20,18,8,6,,,,
G41610,Oberösterreich,Haibach im Mühlkreis,708,549,22,527,113,206,96,15,62,18,10,3,2,1,1,,,,
G41611,Oberösterreich,Hellmonsödt,1789,1250,25,1225,254,365,246,30,207,60,31,15,10,7,0,,,,
G41612,Oberösterreich,Herzogsdorf,2019,1464,68,1396,256,577,259,50,136,78,23,10,3,1,3,,,,
G41613,Oberösterreich,Kirchschlag bei Linz,1637,1199,26,1173,216,371,214,38,189,62,52,7,13,4,7,,,,
G41614,Oberösterreich,Lichtenberg,2150,1668,40,1628,332,516,228,40,312,59,120,6,8,5,2,,,,
G41615,Oberösterreich,Oberneukirchen,2600,1883,73,1810,343,685,288,66,248,92,56,9,17,2,4,,,,
G41616,Oberösterreich,Ottenschlag im Mühlkreis,423,326,17,309,73,111,61,12,20,19,7,3,2,0,1,,,,
G41617,Oberösterreich,Ottensheim,3594,2548,54,2494,533,617,355,86,580,107,151,31,24,5,5,,,,
G41618,Oberösterreich,Puchenau,3746,2639,42,2597,606,627,359,75,557,134,181,22,24,7,5,,,,
G41619,Oberösterreich,Reichenau im Mühlkreis,1030,758,24,734,171,251,124,20,98,45,18,1,3,2,1,,,,
G41620,Oberösterreich,Reichenthal,1180,901,29,872,197,344,133,30,88,35,23,5,9,2,6,,,,
G41621,Oberösterreich,Sankt Gotthard im Mühlkreis,1031,783,25,758,182,237,135,24,106,36,29,3,5,0,1,,,,
G41622,Oberösterreich,Schenkenfelden,1267,993,39,954,175,395,171,34,78,56,27,7,5,3,3,,,,
G41623,Oberösterreich,Sonnberg im Mühlkreis,730,546,17,529,116,196,98,8,57,28,16,6,2,1,1,,,,
G41624,Oberösterreich,Steyregg,3928,2787,68,2719,908,540,499,101,370,120,126,25,19,6,5,,,,
G41625,Oberösterreich,Vorderweißenbach,1668,1273,32,1241,204,594,211,40,100,32,30,4,11,14,1,,,,
G41626,Oberösterreich,Walding,3272,2429,61,2368,735,597,331,77,338,129,116,20,18,4,3,,,,
G41627,Oberösterreich,Zwettl an der Rodl,1371,1055,27,1028,179,392,155,28,154,60,43,7,5,3,2,,,,
G41701,Oberösterreich,Ampflwang im Hausruckwald,2756,2003,61,1942,826,283,475,71,127,80,40,9,16,13,2,,,,
G41702,Oberösterreich,Attersee am Attersee,1304,936,24,912,226,259,153,41,129,46,34,12,11,0,1,,,,
G41703,Oberösterreich,Attnang-Puchheim,6177,4169,99,4070,1531,526,1060,123,412,189,129,29,51,17,3,,,,
G41704,Oberösterreich,Atzbach,926,716,21,695,79,292,163,31,67,34,16,2,3,8,0,,,,
G41705,Oberösterreich,Aurach am Hongar,1287,1007,31,976,261,227,283,22,81,64,21,6,6,4,1,,,,
G41706,Oberösterreich,Berg im Attergau,781,588,20,568,74,273,126,15,41,17,7,5,5,3,2,,,,
G41707,Oberösterreich,Desselbrunn,1389,1037,29,1008,254,305,242,31,87,49,20,8,7,5,0,,,,
G41708,Oberösterreich,Fornach,748,583,31,552,65,247,135,19,46,27,8,1,0,3,1,,,,
G41709,Oberösterreich,Frankenburg am Hausruck,3911,3054,101,2953,916,667,777,107,216,129,83,19,28,8,3,,,,
G41710,Oberösterreich,Frankenmarkt,2767,1990,77,1913,446,513,471,89,178,112,64,11,21,5,3,,,,
G41711,Oberösterreich,Gampern,2133,1653,52,1601,365,472,362,81,187,59,43,6,17,7,2,,,,
G41712,Oberösterreich,Innerschwand am Mondsee,890,593,12,581,72,276,95,21,70,21,14,4,6,1,1,,,,
G41713,Oberösterreich,Lenzing,4021,2846,67,2779,1161,247,779,98,197,172,61,23,26,11,4,,,,
G41714,Oberösterreich,Manning,663,501,17,484,111,167,88,15,51,27,14,5,4,2,0,,,,
G41715,Oberösterreich,Mondsee,2443,1350,23,1327,254,381,260,51,203,81,67,7,14,7,2,,,,
G41716,Oberösterreich,Neukirchen an der Vöckla,2067,1602,53,1549,297,496,376,59,173,61,43,5,12,24,3,,,,
G41717,Oberösterreich,Niederthalheim,817,645,19,626,97,219,193,10,57,30,13,1,5,0,1,,,,
G41718,Oberösterreich,Nußdorf am Attersee,895,614,20,594,88,210,146,28,43,52,14,2,5,6,0,,,,
G41719,Oberösterreich,Oberhofen am Irrsee,1161,860,34,826,151,300,165,35,96,35,31,4,8,1,0,,,,
G41720,Oberösterreich,Oberndorf bei Schwanenstadt,1137,810,28,782,224,165,188,35,94,37,31,2,4,1,1,,,,
G41721,Oberösterreich,Oberwang,1261,962,28,934,79,474,256,24,34,41,10,3,6,5,2,,,,
G41722,Oberösterreich,Ottnang am Hausruck,3066,2179,86,2093,606,475,558,83,168,103,42,6,25,21,6,,,,
G41723,Oberösterreich,Pfaffing,1148,847,29,818,230,210,195,32,83,42,14,0,4,6,2,,,,
G41724,Oberösterreich,Pilsbach,508,411,10,401,102,150,56,11,37,11,24,0,4,5,1,,,,
G41725,Oberösterreich,Pitzenberg,417,315,8,307,53,105,75,8,40,17,7,0,1,1,0,,,,
G41726,Oberösterreich,Pöndorf,1846,1326,50,1276,308,384,359,40,71,71,15,9,15,2,2,,,,
G41727,Oberösterreich,Puchkirchen am Trattberg,781,562,16,546,106,192,112,18,50,29,22,6,7,3,1,,,,
G41728,Oberösterreich,Pühret,492,358,14,344,72,124,84,8,26,22,2,1,3,2,0,,,,
G41729,Oberösterreich,Redleiten,391,294,12,282,75,72,76,10,18,17,12,0,1,0,1,,,,
G41730,Oberösterreich,Redlham,1174,840,21,819,244,213,175,26,90,35,20,1,7,8,0,,,,
G41731,Oberösterreich,Regau,4909,3612,126,3486,921,660,933,153,435,194,113,26,30,18,3,,,,
G41732,Oberösterreich,Rüstorf,1615,1157,29,1128,332,231,319,32,119,45,34,3,5,5,3,,,,
G41733,Oberösterreich,Rutzenham,211,168,8,160,11,67,30,2,33,9,2,2,4,0,0,,,,
G41734,Oberösterreich,Sankt Georgen im Attergau,3075,2144,51,2093,360,527,654,105,212,96,72,22,20,23,2,,,,
G41735,Oberösterreich,Sankt Lorenz,1794,1218,28,1190,162,459,244,37,145,59,73,3,5,3,0,,,,
G41736,Oberösterreich,Schlatt,1045,721,26,695,150,214,169,26,65,35,23,4,4,2,3,,,,
G41737,Oberösterreich,Schörfling am Attersee,2623,1801,40,1761,471,312,440,75,251,87,82,23,17,2,1,,,,
G41738,Oberösterreich,Schwanenstadt,2947,1978,45,1933,529,410,478,61,246,104,63,11,23,6,2,,,,
G41739,Oberösterreich,Seewalchen am Attersee,4228,2990,79,2911,742,537,768,101,399,164,126,21,28,16,9,,,,
G41740,Oberösterreich,Steinbach am Attersee,683,492,7,485,103,183,65,17,62,30,18,2,4,0,1,,,,
G41741,Oberösterreich,Straß im Attergau,1123,818,37,781,125,292,214,20,64,29,18,5,11,0,3,,,,
G41742,Oberösterreich,Tiefgraben,2786,1785,51,1734,290,677,356,53,195,84,61,3,10,1,4,,,,
G41743,Oberösterreich,Timelkam,4543,3307,98,3209,1027,582,771,134,370,161,97,25,27,10,5,,,,
G41744,Oberösterreich,Ungenach,1165,889,26,863,121,331,175,32,107,50,29,3,13,2,0,,,,
G41745,Oberösterreich,Unterach am Attersee,1127,731,10,721,203,227,115,26,78,31,34,1,4,1,1,,,,
G41746,Oberösterreich,Vöcklabruck,9173,5950,115,5835,1613,1204,1231,233,875,286,273,29,47,31,13,,,,
G41747,Oberösterreich,Vöcklamarkt,3679,2689,82,2607,661,742,643,67,257,120,76,17,14,7,3,,,,
G41748,Oberösterreich,Weißenkirchen im Attergau,759,559,18,541,62,272,120,12,37,19,6,1,1,9,2,,,,
G41749,Oberösterreich,Weyregg am Attersee,1267,859,15,844,200,266,169,30,103,37,30,1,5,2,1,,,,
G41750,Oberösterreich,Wolfsegg am Hausruck,1571,1023,29,994,348,240,209,21,101,31,15,13,14,0,2,,,,
G41751,Oberösterreich,Zell am Moos,1179,833,25,808,118,323,137,23,108,35,51,2,7,3,1,,,,
G41752,Oberösterreich,Zell am Pettenfirst,944,712,20,692,141,229,127,20,109,26,23,6,6,2,3,,,,
G41801,Oberösterreich,Aichkirchen,430,331,8,323,38,139,86,16,21,10,10,0,1,2,0,,,,
G41802,Oberösterreich,Bachmanning,506,361,3,358,93,111,89,7,26,12,9,2,2,6,1,,,,
G41803,Oberösterreich,Bad Wimsbach-Neydharting,1939,1454,37,1417,332,477,307,70,129,55,27,4,11,3,2,,,,
G41804,Oberösterreich,Buchkirchen,3210,2313,49,2264,666,474,554,71,259,121,78,14,16,5,6,,,,
G41805,Oberösterreich,Eberstalzell,1850,1336,28,1308,153,483,337,59,132,75,39,6,16,8,0,,,,
G41806,Oberösterreich,Edt bei Lambach,1625,1188,19,1169,306,282,314,53,93,74,30,9,6,0,2,,,,
G41807,Oberösterreich,Fischlham,1083,819,20,799,163,275,171,21,76,57,25,1,8,2,0,,,,
G41808,Oberösterreich,Gunskirchen,4493,3297,65,3232,853,707,906,132,300,161,111,19,21,6,16,,,,
G41809,Oberösterreich,Holzhausen,632,472,15,457,132,118,97,22,43,21,18,0,5,0,1,,,,
G41810,Oberösterreich,Krenglbach,2372,1805,38,1767,509,345,432,66,205,110,76,8,11,3,2,,,,
G41811,Oberösterreich,Lambach,2441,1516,22,1494,414,334,377,51,165,74,44,7,23,4,1,,,,
G41812,Oberösterreich,Marchtrenk,9378,6578,111,6467,2267,806,1814,252,580,410,201,38,74,14,11,,,,
G41813,Oberösterreich,Neukirchen bei Lambach,713,511,14,497,89,193,102,33,30,16,23,8,2,0,1,,,,
G41814,Oberösterreich,Offenhausen,1269,938,27,911,153,284,272,23,86,50,28,8,5,2,0,,,,
G41815,Oberösterreich,Pennewang,732,540,16,524,57,232,114,17,58,28,11,0,3,4,0,,,,
G41816,Oberösterreich,Pichl bei Wels,2173,1685,49,1636,364,455,418,70,181,72,53,6,8,5,4,,,,
G41817,Oberösterreich,Sattledt,1844,1329,20,1309,300,400,329,58,79,74,34,5,23,7,0,,,,
G41818,Oberösterreich,Schleißheim,951,717,23,694,141,174,170,26,100,46,22,2,9,3,1,,,,
G41819,Oberösterreich,Sipbachzell,1474,1106,27,1079,190,355,279,28,99,74,39,3,8,1,3,,,,
G41820,Oberösterreich,Stadl-Paura,3591,2192,63,2129,673,288,691,80,209,99,48,18,16,4,3,,,,
G41821,Oberösterreich,Steinerkirchen an der Traun,1864,1441,39,1402,188,579,304,51,139,76,44,6,12,1,2,,,,
G41822,Oberösterreich,Steinhaus,1558,1177,29,1148,219,294,402,34,101,51,30,3,8,2,4,,,,
G41823,Oberösterreich,Thalheim bei Wels,4238,2913,50,2863,643,648,630,131,465,140,149,19,26,7,5,,,,
G41824,Oberösterreich,Weißkirchen an der Traun,2482,1839,25,1814,509,431,454,51,181,105,58,8,13,3,1,,,,
G50101,Salzburg,Salzburg,100748,57596,956,56640,13696,10972,11335,1974,10995,2884,3580,695,509,,,,,,
G50201,Salzburg,Abtenau,4415,3323,112,3211,920,1144,542,73,295,130,85,4,18,,,,,,
G50202,Salzburg,Adnet,2768,2142,68,2074,403,737,375,62,296,103,87,7,4,,,,,,
G50203,Salzburg,Annaberg-Lungötz,1712,1317,40,1277,310,509,260,43,71,43,34,3,4,,,,,,
G50204,Salzburg,Golling an der Salzach,3048,2189,52,2137,513,588,471,68,300,95,79,10,13,,,,,,
G50205,Salzburg,Hallein,13819,8772,176,8596,2636,1359,1950,253,1383,494,373,74,74,,,,,,
G50206,Salzburg,Krispl,721,552,12,540,132,207,114,15,34,28,7,1,2,,,,,,
G50207,Salzburg,Kuchl,5271,3752,108,3644,670,1155,619,167,611,185,190,17,30,,,,,,
G50208,Salzburg,Oberalm,3178,2259,39,2220,523,544,414,65,416,123,102,12,21,,,,,,
G50209,Salzburg,Puch bei Hallein,3351,2260,68,2192,486,565,443,84,370,116,89,19,20,,,,,,
G50210,Salzburg,Rußbach am Paß Gschütt,633,493,22,471,134,205,78,13,21,9,7,3,1,,,,,,
G50211,Salzburg,Sankt Koloman,1269,1018,31,987,103,520,179,28,82,40,25,4,6,,,,,,
G50212,Salzburg,Scheffau am Tennengebirge,1066,818,29,789,149,296,160,24,97,32,26,3,2,,,,,,
G50213,Salzburg,Bad Vigaun,1581,1198,39,1159,227,379,228,39,177,48,46,11,4,,,,,,
G50301,Salzburg,Anif,3086,1946,44,1902,346,486,386,92,301,94,180,9,8,,,,,,
G50302,Salzburg,Anthering,2825,2014,49,1965,248,667,395,69,364,88,108,8,18,,,,,,
G50303,Salzburg,Bergheim,3829,2693,64,2629,446,916,489,91,395,118,149,8,17,,,,,,
G50304,Salzburg,Berndorf bei Salzburg,1365,987,35,952,173,335,221,45,104,37,29,5,3,,,,,,
G50305,Salzburg,Bürmoos,3592,2402,62,2340,953,212,554,69,318,125,75,17,17,,,,,,
G50306,Salzburg,Dorfbeuern,1176,853,32,821,135,326,170,19,110,32,24,2,3,,,,,,
G50307,Salzburg,Ebenau,1092,778,16,762,107,311,131,26,119,33,25,4,6,,,,,,
G50308,Salzburg,Elixhausen,2236,1548,37,1511,266,470,276,48,279,76,80,11,5,,,,,,
G50309,Salzburg,Elsbethen,4117,2843,57,2786,418,814,472,113,597,151,175,21,25,,,,,,
G50310,Salzburg,Eugendorf,5125,3589,74,3515,574,1037,751,151,581,226,162,20,13,,,,,,
G50311,Salzburg,Faistenau,2323,1668,36,1632,207,547,493,60,183,81,46,6,9,,,,,,
G50312,Salzburg,Fuschl am See,1066,730,16,714,87,281,145,13,94,51,34,3,6,,,,,,
G50313,Salzburg,Göming,559,456,16,440,43,237,63,14,55,15,8,3,2,,,,,,
G50314,Salzburg,Grödig,5153,3418,69,3349,955,633,790,116,493,157,164,19,22,,,,,,
G50315,Salzburg,Großgmain,1796,1138,18,1120,162,317,268,42,191,54,70,6,10,,,,,,
G50316,Salzburg,Hallwang,3096,2048,43,2005,365,558,409,89,368,102,84,17,13,,,,,,
G50317,Salzburg,Henndorf am Wallersee,3735,2598,67,2531,531,686,554,81,390,123,140,14,12,,,,,,
G50318,Salzburg,Hintersee,350,250,8,242,69,84,50,12,10,9,8,0,0,,,,,,
G50319,Salzburg,Hof bei Salzburg,2567,1745,41,1704,306,532,356,56,261,101,72,10,10,,,,,,
G50320,Salzburg,Köstendorf,2029,1395,54,1341,216,517,251,51,158,81,55,5,7,,,,,,
G50321,Salzburg,Koppl,2568,1826,39,1787,278,536,337,53,366,104,83,13,17,,,,,,
G50322,Salzburg,Lamprechtshausen,2780,1924,49,1875,324,589,433,64,269,92,74,15,15,,,,,,
G50323,Salzburg,Mattsee,2416,1626,40,1586,206,572,257,49,303,87,90,5,17,,,,,,
G50324,Salzburg,Neumarkt am Wallersee,4372,2731,75,2656,580,572,679,78,421,150,126,19,31,,,,,,
G50325,Salzburg,Nußdorf am Haunsberg,1751,1295,29,1266,210,459,233,67,161,71,56,2,7,,,,,,
G50326,Salzburg,Oberndorf bei Salzburg,4143,2663,61,2602,657,548,529,88,444,185,106,13,32,,,,,,
G50327,Salzburg,Obertrum am See,3611,2560,62,2498,332,884,512,78,419,122,121,7,23,,,,,,
G50328,Salzburg,Plainfeld,940,653,15,638,80,219,150,23,84,48,26,2,6,,,,,,
G50329,Salzburg,Sankt Georgen bei Salzburg,2305,1672,48,1624,296,525,390,46,212,95,38,12,10,,,,,,
G50330,Salzburg,Sankt Gilgen,2824,1783,47,1736,336,569,338,71,206,123,74,9,10,,,,,,
G50331,Salzburg,Schleedorf,770,574,12,562,86,201,140,16,62,33,19,3,2,,,,,,
G50332,Salzburg,Seeham,1442,1052,31,1021,143,387,178,30,160,51,53,4,15,,,,,,
G50335,Salzburg,Straßwalchen,5376,3850,132,3718,734,1078,1009,153,414,160,137,13,20,,,,,,
G50336,Salzburg,Strobl,2816,1909,47,1862,387,582,346,82,241,102,82,21,19,,,,,,
G50337,Salzburg,Thalgau,4431,3061,80,2981,463,951,652,102,465,160,153,13,22,,,,,,
G50338,Salzburg,Wals-Siezenheim,9676,6696,154,6542,1148,1701,1625,217,1048,397,310,48,48,,,,,,
G50339,Salzburg,Seekirchen am Wallersee,7738,5343,117,5226,805,1324,1151,208,1032,342,295,23,46,,,,,,
G50401,Salzburg,Altenmarkt im Pongau,2802,1962,52,1910,301,625,466,59,233,123,89,5,9,,,,,,
G50402,Salzburg,Bad Hofgastein,5042,3324,68,3256,1024,779,773,95,237,196,127,11,14,,,,,,
G50403,Salzburg,Bad Gastein,2938,1943,48,1895,599,283,576,79,148,128,68,9,5,,,,,,
G50404,Salzburg,Bischofshofen,7496,4908,97,4811,1818,835,1221,147,384,233,140,25,8,,,,,,
G50405,Salzburg,Dorfgastein,1317,1003,39,964,275,267,246,23,82,32,32,3,4,,,,,,
G50406,Salzburg,Eben im Pongau,1638,1206,31,1175,178,384,383,44,93,48,40,3,2,,,,,,
G50407,Salzburg,Filzmoos,1002,716,15,701,71,328,157,24,47,50,20,1,3,,,,,,
G50408,Salzburg,Flachau,2038,1532,13,1519,220,605,354,58,126,99,47,2,8,,,,,,
G50409,Salzburg,Forstau,416,324,5,319,78,113,76,16,19,10,6,0,1,,,,,,
G50410,Salzburg,Goldegg,1911,1372,28,1344,284,368,298,61,146,122,58,4,3,,,,,,
G50411,Salzburg,Großarl,2887,2181,70,2111,460,984,365,65,134,48,46,3,6,,,,,,
G50412,Salzburg,Hüttau,1133,798,13,785,200,204,237,38,40,43,17,3,3,,,,,,
G50413,Salzburg,Hüttschlag,700,552,8,544,128,266,86,8,39,10,7,0,0,,,,,,
G50414,Salzburg,Kleinarl,585,387,8,379,91,154,86,13,11,15,9,0,0,,,,,,
G50415,Salzburg,Mühlbach am Hochkönig,1174,854,16,838,332,181,189,26,50,37,15,2,6,,,,,,
G50416,Salzburg,Pfarrwerfen,1742,1223,31,1192,254,431,258,50,109,50,32,1,7,,,,,,
G50417,Salzburg,Radstadt,3360,2276,44,2232,460,692,643,73,176,107,71,3,7,,,,,,
G50418,Salzburg,Sankt Johann im Pongau,7849,5419,120,5299,1198,1364,1493,163,599,239,204,13,26,,,,,,
G50419,Salzburg,Sankt Martin am Tennengebirge,1176,859,25,834,220,271,204,36,40,31,25,5,2,,,,,,
G50420,Salzburg,Sankt Veit im Pongau,2812,2122,52,2070,495,603,548,60,180,97,67,10,10,,,,,,
G50421,Salzburg,Schwarzach im Pongau,2641,1782,38,1744,838,216,372,30,150,63,60,6,9,,,,,,
G50422,Salzburg,Untertauern,337,200,3,197,32,72,53,12,8,16,4,0,0,,,,,,
G50423,Salzburg,Wagrain,2282,1617,47,1570,254,549,459,60,108,80,52,5,3,,,,,,
G50424,Salzburg,Werfen,2295,1564,28,1536,454,306,452,60,131,62,52,4,15,,,,,,
G50425,Salzburg,Werfenweng,663,476,11,465,45,167,147,20,41,23,19,1,2,,,,,,
G50501,Salzburg,Göriach,292,231,2,229,51,103,46,4,14,6,5,0,0,,,,,,
G50502,Salzburg,Lessach,452,318,9,309,59,141,64,9,19,9,7,0,1,,,,,,
G50503,Salzburg,Mariapfarr,1877,1201,32,1169,292,351,266,43,90,62,53,9,3,,,,,,
G50504,Salzburg,Mauterndorf,1310,796,22,774,146,243,208,29,68,48,22,5,5,,,,,,
G50505,Salzburg,Muhr,451,340,2,338,79,116,128,7,4,3,1,0,0,,,,,,
G50506,Salzburg,Ramingstein,963,652,13,639,210,189,162,10,31,27,8,2,0,,,,,,
G50507,Salzburg,Sankt Andrä im Lungau,609,418,7,411,112,163,77,9,22,17,6,1,4,,,,,,
